License Number,County,Type of Child Care,City,State,Age Range,Capacity,Count
90063,SUSSEX,Licensed Family Child Care,LAUREL,DE,6 weeks through 12 years.,6,1
90140,New Castle,Licensed Child Care Center,NEW CASTLE,DE,3 years through 5 years.,144,1
93406,SUSSEX,Licensed Child Care Center,GEORGETOWN,DE,6 weeks through 12 years.,121,1
93633,NEW CASTLE,Licensed Family Child Care,WILMINGTON,DE,1 year through 12 years.,6,1
94098,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
95066,Sussex,Licensed Family Child Care,FRANKFORD,DE,2 years through 5 years.,9,1
95889,Sussex,Licensed Family Child Care,MILFORD,DE,6 weeks through 6 years.,9,1
96365,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
97022,Sussex,Licensed Child Care Center,MILTON,DE,6 weeks through 12 years.,39,1
98864,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
99183,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 months through 12 years.,6,1
100261,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,9,1
100861,NEW CASTLE,Licensed Family Child Care,BEAR,DE,6 weeks through 5 years.,6,1
102131,KENT,Licensed Child Care Center,HARRINGTON,DE,2 years through 12 years.,94,1
102273,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,40,1
103368,New Castle,Licensed Family Child Care,CLAYMONT,DE,6 weeks through Kindergarten.,9,1
106432,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 10 years.,9,1
109237,New Castle,Licensed Child Care Center,NEW CASTLE,DE,Kindergarten through 12 years.,91,1
109241,New Castle,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,230,1
110558,KENT,Licensed Child Care Center,MILFORD,DE,3 years through 12 years.,198,1
114519,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,3 years through 12 years.,9,1
115318,New Castle,Licensed Child Care Center,BEAR,DE,6 weeks through 12 years.,322,1
115415,New Castle,Licensed Family Child Care,WILMINGTON,DE,1 year through 5 years.,9,1
120708,Sussex,Licensed Family Child Care,MILLSBORO,DE,1 year through 12 years.,9,1
120987,Sussex,Licensed Large Family Child Care,GREENWOOD,DE,1 year through 12 years.,12,1
122328,New Castle,Licensed Child Care Center,WILMINGTON,DE,3 years through 5 years.,55,1
123948,Sussex,Licensed Child Care Center,LEWES,DE,6 weeks through 5 years.,174,1
132904,NEW CASTLE,Licensed Family Child Care,HOCKESSIN,DE,6 weeks through 14 years.,9,1
133110,Sussex,Licensed Family Child Care,MILLSBORO,DE,1 year through 5 years.,6,1
133658,Kent,Licensed Family Child Care,DOVER,DE,2 years through 12 years.,9,1
135144,Sussex,Licensed Child Care Center,MILFORD,DE,Kindergarten through 12 years.,60,1
137030,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
138340,New Castle,Licensed Family Child Care,WILMINGTON,DE,8 weeks through 12 years.,9,1
141385,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
142285,KENT,Licensed Child Care Center,MILFORD,DE,6 weeks through 12 years.,30,1
144646,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 weeks through 12 years.,9,1
145918,Kent,Licensed Family Child Care,HARTLY,DE,8 weeks through 12 years.,9,1
145971,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
146246,SUSSEX,Licensed Family Child Care,BRIDGEVILLE,DE,1 year through 12 years.,9,1
148025,Kent,Licensed Child Care Center,DOVER,DE,5 years through 12 years.,60,1
148026,KENT,Licensed Child Care Center,DOVER,DE,Kindergarten through 12 years.,40,1
148524,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 10 years.,9,1
150151,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 months through 12 years.,9,1
150368,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
160477,New Castle,Licensed Child Care Center,WILMINGTON,DE,1 year through 6 years.,94,1
162152,Sussex,Licensed Family Child Care,MILLSBORO,DE,2 years through 13 years.,9,1
162339,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
164137,New Castle,Licensed Family Child Care,BEAR,DE,8 weeks through 12 years.,9,1
174339,Kent,Licensed Family Child Care,DOVER,DE,6 months through 11 years.,6,1
175457,New Castle,Licensed Family Child Care,BEAR,DE,3 months through 12 years.,9,1
177414,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 10 years.,9,1
183981,New Castle,Licensed Child Care Center,HOCKESSIN,DE,6 weeks through 5 years.,117,1
185628,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
187264,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 12 years.,9,1
187727,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 5 years.,9,1
189668,Sussex,Licensed Child Care Center,GEORGETOWN,DE,1 year through 5 years.,30,1
190036,Sussex,Licensed Family Child Care,BLADES,DE,6 weeks through 12 years.,9,1
190334,Sussex,Licensed Family Child Care,LAUREL,DE,2 years through 12 years.,6,1
191383,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 5 years.,95,1
191517,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
192931,New Castle,Licensed Child Care Center,NEWARK,DE,5 years through 12 years.,72,1
192932,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,67,1
192933,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,66,1
194092,Sussex,Licensed Family Child Care,GEORGETOWN,DE,3 months through 10 years.,9,1
196808,NEW CASTLE,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,6,1
197034,Sussex,Licensed Family Child Care,SEAFORD,DE,2 years through 12 years.,9,1
197565,New Castle,Licensed Child Care Center,NEWARK,DE,3 years through 5 years.,70,1
198920,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 6 years.,9,1
199637,Sussex,Licensed Large Family Child Care,MILFORD,DE,6 weeks through 12 years.,12,1
199741,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
199932,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 10 years.,9,1
201263,Kent,Licensed Family Child Care,FELTON,DE,6 weeks through 12 years.,9,1
201490,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 12 years.,9,1
201922,Sussex,Licensed Child Care Center,SEAFORD,DE,2 years through 3 years.,60,1
204322,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
204865,Sussex,Licensed Family Child Care,GREENWOOD,DE,6 weeks through 12 years.,9,1
208366,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 12 years.,9,1
210271,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through Kindergarten.,9,1
211442,KENT,Licensed Child Care Center,HARRINGTON,DE,1 year through 12 years.,95,1
219438,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 weeks through 12 years.,9,1
220871,Sussex,Licensed Family Child Care,SEAFORD,DE,1 year through 4 years.,9,1
224451,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 8 years.,9,1
226779,Sussex,Licensed Large Family Child Care,SEAFORD,DE,2 years through 12 years.,12,1
229130,Sussex,Licensed Family Child Care,LAUREL,DE,6 weeks through 12 years.,9,1
230830,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
230880,NEW CASTLE,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
236863,Kent,Licensed Family Child Care,DOVER,DE,6 months through 12 years.,9,1
241231,Kent,Licensed Family Child Care,MAGNOLIA,DE,3 months through 12 years.,9,1
242142,SUSSEX,Licensed Child Care Center,GEORGETOWN,DE,6 weeks through 12 years.,68,1
243607,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,1 year through 5 years.,83,1
243856,Sussex,Licensed Family Child Care,LAUREL,DE,6 months through 4 years.,9,1
248247,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
248499,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
248737,New Castle,Licensed Family Child Care,NEWARK,DE,1 year through 12 years.,9,1
250487,New Castle,Licensed Child Care Center,WILMINGTON,DE,3 years through 5 years.,129,1
250535,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 months through 12 years.,250,1
251205,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
254719,New Castle,Licensed Family Child Care,TOWNSEND,DE,6 weeks through 12 years.,9,1
256702,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
257097,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 12 years.,291,1
278255,New Castle,Licensed Child Care Center,WILMINGTON,DE,3 months through 5 years.,55,1
279245,Kent,Licensed Family Child Care,SMYRNA,DE,6 weeks through 12 years.,9,1
279340,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
279652,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
281260,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,103,1
281634,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,6,1
282304,New Castle,Licensed Family Child Care,NEWARK,DE,3 months through 4 years.,9,1
289531,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 weeks through 12 years.,6,1
296897,Kent,Licensed Child Care Center,DOVER,DE,6 weeks through 5 years.,99,1
298111,KENT,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
299234,Kent,Licensed Large Family Child Care,DOVER,DE,6 weeks through Kindergarten.,12,1
303866,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,73,1
306210,Sussex,Licensed Family Child Care,OCEAN VIEW,DE,1 year through 12 years.,9,1
312102,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,6,1
312125,New Castle,Licensed Family Child Care,CLAYMONT,DE,6 weeks through 12 years.,9,1
312578,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
313178,New Castle,Licensed Child Care Center,NEW CASTLE,DE,3 years through 5 years.,99,1
313880,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,146,1
314719,Kent,Licensed Family Child Care,DOVER,DE,3 years through 12 years.,9,1
319672,New Castle,Licensed Child Care Center,CHRISTIANA,DE,Kindergarten through 12 years.,50,1
322767,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,2 years through 12 years.,12,1
326843,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
326932,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 13 years.,9,1
329319,New Castle,Licensed Child Care Center,NEW CASTLE,DE,6 weeks through 12 years.,152,1
329892,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
329978,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,60,1
332679,New Castle,Licensed Family Child Care,WILMINGTON,DE,1 year through 12 years.,9,1
335248,Sussex,Licensed Child Care Center,DELMAR,DE,6 weeks through 12 years.,217,1
336315,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,54,1
339463,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 10 years.,60,1
340634,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
340971,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 weeks through 10 years.,9,1
344608,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,238,1
345684,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 weeks through 12 years.,6,1
347060,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
347298,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
348643,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 14 years.,9,1
355576,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,104,1
356240,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,43,1
356241,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,36,1
357549,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
360032,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 months through 10 years.,9,1
362208,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,70,1
362936,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 months through 12 years.,9,1
363256,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 5 years.,6,1
366231,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,91,1
366903,NEW CASTLE,Licensed Child Care Center,NEWARK,DE,6 weeks through 11 years.,109,1
366984,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
369102,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
372915,New Castle,Licensed Child Care Center,WILMINGTON,DE,3 years through 12 years.,50,1
373304,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,60,1
373472,NEW CASTLE,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 13 years.,6,1
374257,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 13 years.,9,1
374926,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
375174,Kent,Licensed Family Child Care,FREDERICA,DE,6 weeks through 12 years.,9,1
376755,New Castle,Licensed Family Child Care,NEW CASTLE,DE,3 months through 12 years.,9,1
377503,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 13 years.,9,1
377831,NEW CASTLE,Licensed Family Child Care,BEAR,DE,1 year through 12 years.,6,1
377904,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
378440,New Castle,Licensed Child Care Center,HOCKESSIN,DE,6 weeks through 12 years.,180,1
378652,Kent,Licensed Family Child Care,MAGNOLIA,DE,1 year through 13 years.,9,1
381264,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 5 years.,9,1
381418,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,60,1
382889,NEW CASTLE,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
388754,SUSSEX,Licensed Child Care Center,FRANKFORD,DE,6 weeks through 5 years.,115,1
392469,New Castle,Licensed Family Child Care,CLAYMONT,DE,6 weeks through 5 years.,9,1
393541,Sussex,Licensed Family Child Care,SEAFORD,DE,2 years through 13 years.,9,1
396672,New Castle,Licensed Child Care Center,NEWARK,DE,1 year through 12 years.,84,1
398435,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,60,1
399918,Kent,Licensed Child Care Center,SMYRNA,DE,6 weeks through 12 years.,60,1
400440,New Castle,Licensed Large Family Child Care,BEAR,DE,6 weeks through 5 years.,12,1
402024,New Castle,Licensed Family Child Care,TOWNSEND,DE,6 weeks through 12 years.,9,1
402929,New Castle,Licensed Family Child Care,BEAR,DE,6 months through 10 years.,9,1
403525,Kent,Licensed Family Child Care,MAGNOLIA,DE,6 weeks through 12 years.,9,1
404481,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,74,1
405956,Sussex,Licensed Child Care Center,ELLENDALE,DE,1 year through 12 years.,23,1
408797,New Castle,Licensed Child Care Center,WILMINGTON,DE,1 year through 5 years.,46,1
410627,Sussex,Licensed Family Child Care,MILTON,DE,6 weeks through 12 years.,6,1
414164,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,6,1
420550,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,9,1
421520,Kent,Licensed Child Care Center,HARRINGTON,DE,8 weeks through 12 years.,78,1
424137,New Castle,Licensed Family Child Care,NEWARK,DE,3 months through 10 years.,9,1
424246,New Castle,Licensed Family Child Care,SMYRNA,DE,6 weeks through 12 years.,9,1
426089,NEW CASTLE,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,6,1
